-3056 -536
-2408 520
-3034 170
4280 1112
3326 448
-3254 1434
2708 -1274
-3501 -1215
2758 674
3234 -702
1972 -1086
2596 -1100
-3222 -838
-2782 -1922
3248 -24
3519 -735
2968 -1428
2053 63
2390 1352
3236 816
1990 -1192
3749 -1101
-2616 -822
2642 1640
-2996 -230
-3226 24
-2894 414
-3280 746
-3030 -86
-3710 280
-2988 244
-3002 -298
-3336 -476
-2832 -1016
-3532 590
2690 -940
-2926 578
-3392 -1332
-2952 -504
-2926 350
-4157 485
2646 -430
-3244 390
2590 -242
-2494 -646
-2990 -484
-2732 -200
-3668 -1026
-2470 638
-2574 1826
-3016 746
-2906 30
2154 1328
-2152 -2146
-2808 -478
-3920 966
-2924 1226
-3424 -1414
3102 1302
-2866 740
3331 -959
-3304 788
-3916 -342
3366 640
-3809 -729
3883 -1401
-2960 1232
3322 316
-2824 -1240
1890 716
3384 832
-3870 806
-3768 914
-2884 -166
2986 1418
3126 -114
2810 -704
2656 -464
4422 1158
3640 -184
3936 -478
2437 -447
2690 -208
2776 398
3796 206
3040 236
2738 -462
2486 -132
2636 688
2720 -54
-2452 1518
2728 -424
-2512 -1906
3332 914
-3022 1518
-2684 460
-3460 -140
-3216 1008
-2282 -778
2576 700
-2302 380
2800 732
3450 1064
-2490 1270
-2786 1928
-3628 -484
-4312 -204
-1789 103
-2586 178
-2702 -36
2738 634
-2990 -192
3998 1008
3034 -992
2936 -1376
3686 116
3138 428
3088 362
2680 1044
3206 -586
-3520 694
3104 394
3898 458
-2073 -179
2388 -60
2752 -1548
-2504 -874
-3292 602
-2622 -1160
-2902 -184
3022 -766
-2052 -672
2948 468
2894 -680
3088 -682
-3858 -824
-3162 -1526
-3532 1174
2300 -714
3630 -408
-3030 -356
-3324 232
-3766 -326
-2104 -176
2964 410
2988 -614
3788 200
3742 -516
4444 -16
-1551 -527
3798 900
-3146 208
-3528 1074
3240 -200
4204 110
-2228 262
2674 88
4258 120
3152 1002
-2307 481
2382 370
-3087 535
3002 -1310
-3091 -1191
-4588 -1474
-2964 286
-2102 1018
-2970 1576
-2724 124
-2464 -142
3080 1320
-4244 -588
-3534 488
-2686 2234
-2664 590
-2948 -1296
2770 974
-4088 1178
-3292 272
3126 1694
-3274 188
2870 -310
3296 -1476
2456 1090
-3106 -2122
-3790 406
2340 -1600
-3179 -535
3312 -34
-3078 310
2438 350
-3014 -986
-4086 -190
-2422 74
1990 -1682
2810 -1088
-2834 162
2596 86
3498 -494
2414 -290
-3180 -1224
2636 722
3312 -304
2812 776
2497 -663
3160 -1034
3752 -186
-3202 -1016
-4040 -174
3240 -538
2498 794
2434 706
3848 -22
-3338 586
3400 -676
3484 -724
2414 1530
-3534 -1520
-3466 1596
-3152 1588
2646 720
-3406 -1818
3768 26
-4032 1046
-3452 -330
2458 300
3442 -330
3220 -666
-2294 -244
3030 1666
-3388 -142
2085 -553
-2720 150
-2927 -377
3605 -555
-4052 428
-3658 -392
3798 1204
2649 -1379
-2320 410
3261 -201
-2370 -410
-3190 328
3144 -12
-2840 -638
-2692 -490
2494 -94
-3618 346
3460 -654
3587 -65
2696 -808
3556 692
-2730 -528
-3412 980
-3430 -1590
3012 -408
-2924 -362
3386 864
2610 -1386
-3450 1542
3144 350
2474 1706
3038 -384
-3630 62
-2714 -480
2924 536
3008 -380
-2270 340
3472 -1134
-2718 480
3400 1658
-4090 -546
2880 -176
-2876 808
3158 -586
-2546 -590
3292 396
-3584 1048
3296 -214
-3134 -826
-3652 -1020
2988 196
3280 -1514
-3691 1337
-3178 -2556
-2216 -1556
2998 -1696
2968 -490
-2762 -194
2416 636
3936 -102
3734 126
4040 646
-3984 1336
-3316 -976
3066 508
2508 -284
3200 -636
3610 -922
-3088 180
1580 1832
3018 1004
3012 856
-3570 1086
-3500 804
-3663 421
-3012 -1690
3306 826
1842 -444
-2968 700
3526 -1516
-3492 -926
-2514 -430
-2646 1062
3020 1632
3698 -624
3400 -922
3378 246
3770 1490
3614 -372
2800 -848
2600 -304
3274 240
-2562 -876
2813 -275
-2534 556
-3496 -366
-2612 56
-2680 322
2986 -106
2860 -284
2766 -812
-3452 -498
3778 314
3446 206
-3200 -2
-4106 -400
-3516 1702
3034 344
2378 1020
2991 1513
3304 -220
-2992 1400
2416 508
-4012 -158
2340 -172
3902 -676
-2596 -240
-2980 -984
2954 -82
-2414 1190
3508 -296
2466 960
-3668 -134
-3419 -107
-2628 -720
-2900 346
-2508 548
2943 -227
3299 -327
3491 911
3437 -61
3137 -241
3308 -248
-3341 -555
-2980 484
-3340 882
-3538 -600
-3702 -630
-3814 164
-2628 712
-3004 644
-2762 -22
-3816 -810
2190 1030
2992 422
2978 -1052
2420 -62
-3737 -105
-4186 18
-3328 466
-3602 404
-3288 -398
-3493 -937
2574 40
2710 -372
