0,0
2597,-195
2386,-682
-3320,1404
-2100,432
-1187,-1819
-1390,-2116
-2762,-1774
-2552,-1374
-1114,570
-1618,2574
1897,-1021
-2836,392
1682,1050
2130,388
1418,938
1553,857
-1920,112
2194,18
1958,14
-1328,926
-2076,52
-1929,575
1364,384
1544,-94
-376,254
-1792,670
1240,312
1361,-887
1042,-1020
1432,52
1080,-64
166,-604
636,90
257,1835
246,-70
1960,964
-50,124
952,320
586,-522
377,1221
-12,-116
1430,678
-1090,750
-650,-198
187,95
-602,146
50,-280
248,374
892,1128
-774,770
-455,-647
-258,-528
-238,-124
582,-868
650,184
916,-432
449,-167
208,-304
242,-184
-558,1254
632,-240
-952,-548
235,327
416,1482
1286,-498
616,306
746,436
1426,960
-43,611
956,-86
-368,540
898,96
1648,70
1407,-807
258,-148
1590,-744
1244,-50
-1304,288
-2252,988
2215,-1081
1360,1296
-1924,-686
980,-614
1672,1308
1156,1576
-2107,-409
1202,-1112
-2750,-796
-2280,-180
2888,198
2330,292
2545,-497
-1758,336
-2650,-278
-1126,336
-1748,890
-1830,704
-2187,443
-3262,-258
-3258,306
-2328,-652
-2602,-196
-2276,-1174
-1935,-641
-2832,1938
-1816,180
3164,590
-2270,-324
2276,-1182
-2045,-545
1744,474
-2542,168
-2624,292
-1856,776
2537,225
2378,-462
1816,274
-2258,354
1256,574
-1818,-580
-2377,-91
1770,1268
1248,476
1116,-70
2078,-240
1056,534
1587,-495
942,-494
-2148,-478
-428,-178
-852,460
-666,274
333,907
1320,-384
-4,106
-490,-362
1378,302
-514,880
-1401,285
740,542
-160,-108
-36,-442
-516,-282
-399,1271
280,-578
-982,-768
494,-672
8,50
616,-12
81,267
138,-268
502,-100
356,-280
-316,-816
-454,106
-153,317
-100,166
586,-236
10,-316
-44,-92
-276,102
783,-693
124,-208
-530,-504
-96,-448
454,-16
838,-390
529,-785
-820,442
766,-562
-930,-68
468,-1520
440,-150
-433,-369
658,-282
646,-124
-1088,-76
-24,-520
289,-335
