0,0
611,2991
710,3150
4470,480
-2500,2174
-1540,2720
-1556,2762
-2686,2572
-3436,1356
-2924,492
-2708,-14
-3124,1678
3164,-1072
-3564,538
3384,424
3502,1874
2953,-1029
2604,-3060
-4079,415
4159,1053
4340,370
-3454,132
-3152,650
-2614,764
3846,-374
3626,528
3604,-1544
-4494,-36
3664,1184
3394,-158
4724,-548
2890,224
3410,-786
4286,1616
3248,-32
3645,-1025
3780,-90
2578,1318
2704,430
3572,-1100
2200,-1640
2744,-64
-3108,-2016
2042,402
-4112,594
-3702,1072
-3490,430
-3626,-1650
-4526,-712
3510,-744
2342,-606
-3394,1264
2672,796
-4386,-850
3142,208
3464,-134
-3378,404
-4446,462
-3884,1098
-3544,-240
-2656,-2378
3338,706
-2790,894
3409,-1275
-4060,424
-3884,-552
-2588,-974
-4024,-680
-3610,164
-2860,642
-3070,724
-3048,158
3122,170
-3644,-1080
-2840,880
-3940,-104
-3208,374
-3414,-44
-4748,-654
3866,-1058
3692,554
-4518,-474
-3538,270
3646,176
-3856,912
-3877,181
-3350,-496
3857,1973
-2174,1556
2261,-1029
3326,-1190
-3136,452
-3265,205
-2808,-1632
3667,649
2857,-45
4158,-2220
3418,1088
2966,2276
2630,-430
2680,-1222
4400,-330
3094,1158
3292,1160
3484,-524
3320,-1182
2752,202
3602,364
-3410,-558
3060,-652
-2836,814
3247,193
-4432,-508
3160,-164
4098,-274
2531,125
-3866,792
-3262,-340
-3818,-620
4150,-90
-3524,-592
3860,146
2966,-158
-3182,2044
-3501,973
-2610,-3056
-3148,-1774
-4089,1127
-2836,942
-3762,438
3552,88
3669,579
4306,1804
3624,-608
-2068,3072
-2702,2050
-3481,-865
-2500,-1382
4198,192
2649,-815
-2922,544
-3259,-567
-2556,-446
-3370,-1576
2150,-1102
-2200,292
-2718,1810
2550,46
-3068,-968
4844,-248
2178,-380
-3302,-942
4164,432
3540,-392
-3610,668
3320,-700
-3318,-742
3234,508
3208,558
3827,-821
3897,285
-3051,365
-3162,88
-3096,-1340
4184,-442
-3004,278
3626,-378
-3718,-676
-3182,1116
-2660,-150
-3316,-706
3016,670
3398,-1540
3794,286
3042,1424
-3332,222
2518,-580
-3662,332
3543,-723
-2520,476
1704,988
3654,1606
-3268,246
2656,216
2956,-906
-2520,1074
2512,630
-2240,-914
-3528,-890
-3466,1500
3022,-208
4374,708
-3428,-1142
2816,-1656
-3442,1600
-3072,-884
2710,488
4007,471
-4350,352
2684,-1392
2966,652
4546,1356
-2240,372
3258,-1514
4190,-584
2598,-246
3484,586
-2362,-822
-3510,-1260
-2978,-228
3174,-1076
-3272,1354
-2832,-128
2810,1376
2534,1080
3550,-540
-3848,590
-3134,134
2196,750
3944,-636
-3676,-122
-3145,-1249
2128,-824
-4004,-442
-3116,-404
